#Base pair	Mean Quality Score
1	31.264301940663003
2	31.44230414073784
3	35.32827246196721
4	35.92871739094916
5	36.09835260322436
6	39.573363997339165
7	39.73660445426991
8	39.816290257915185
9	40.00983631690454
10	40.066305108014255
11	40.10437861747057
12	40.11889414780287
13	40.064250105372594
14	40.07103662198092
15	40.073171105034156
16	40.06607201851381
17	39.9829783604249
18	40.01358335127224
19	40.02123504565017
20	40.01391455314801
21	39.98320344985344
22	40.04378032744052
23	39.973750976729356
24	40.018210123760646
25	39.971674256067296
26	39.95728093192634
27	39.89541670347016
28	39.92127150709283
29	39.86349854459119
30	39.90736658101001
31	39.81043722526508
32	39.870599522388
33	39.852375548537275
34	39.895397397033726
35	39.91179441984523
36	39.904167636909385
37	39.8940528068339
38	39.86885067528549
39	39.88070280934528
40	39.86989397165538
41	39.85233052129154
42	39.837741423883685
43	39.82973229201909
44	39.825489189875306
45	39.74388511984836
46	39.78127342011759
47	39.79134226492084
48	39.78587638234381
49	39.780806010548176
50	39.77567073796273
51	39.77657128287746
52	39.76766332944465
53	39.687864192365005
54	39.72259013422378
55	39.72944116896192
56	39.726058457208154
57	39.67179063839349
58	39.68900449717738
59	39.676117080584355
60	39.66556348813431
61	39.64553211194038
62	39.64080384370144
63	39.589305976831426
64	39.60720985145262
65	39.59399951660956
66	39.581014640090295
67	39.56906488643318
68	39.55893994477335
69	39.544322313041576
70	39.44859068864032
71	39.46707217616147
72	39.46282866933408
73	39.45364293226201
74	39.432105023600556
75	39.40741819468797
76	39.383661906830355
77	38.64629549113497
78	39.05744404006825
79	39.17772193878081
80	39.22938594341392
81	39.32101735202107
82	39.32748463107315
83	39.30458273217514
84	39.28915057694875
85	39.271086665101066
86	39.26378823749097
87	39.22070142488686
88	39.0747698310351
89	39.11058770287364
90	39.11503113716906
91	39.09731839984742
92	39.05424496382604
93	39.01740024173927
94	38.96179684312923
95	38.93702517381195
96	38.94044496779854
97	38.92241449603119
98	38.701608888514855
99	38.753279268979526
100	38.83143660190091
101	37.66828871290474
